32,48,49,18,42,10,14
32,17,18,3,42,29,14
32,18,3,38,42,29,14
32,18,3,8,42,28,29
32,48,18,42,41,10,29
32,49,18,10,38,42,14
48,18,3,42,10,28,13
32,17,18,29,48,42,13
32,49,18,42,28,29,14
32,49,18,17,41,42,29
32,49,18,3,48,42,14
49,29,3,38,42,28,13
32,1,29,18,42,10,13
32,49,18,17,38,42,13
32,29,3,18,42,28,45
32,48,18,3,38,42,28
32,48,18,3,42,10,14
32,17,18,29,38,42,13
32,18,3,38,42,28,13
49,13,3,18,29,42,45
48,17,18,3,42,10,29
32,18,3,42,41,10,29
17,18,3,49,42,29,14
32,48,3,42,10,29,14
17,18,3,42,49,10,28
32,48,49,10,42,29,14
32,18,3,42,10,13,47
48,32,18,29,42,13,14
32,48,18,41,42,28,29
32,49,18,1,42,10,29
32,18,42,41,10,28,29
32,48,18,42,38,10,13
32,17,18,29,42,11,13
32,49,18,42,28,29,47
32,18,3,42,28,29,14
32,48,18,3,41,42,29
32,17,18,49,42,29,47
32,49,18,3,42,28,14
49,18,17,38,42,28,29
32,18,3,42,10,28,14
32,17,18,42,10,29,14
48,49,18,3,42,38,10
32,48,49,18,42,28,47
48,18,3,42,38,10,29
32,49,3,10,38,42,28
32,49,42,10,28,29,14
32,49,18,20,42,28,29
32,49,18,3,42,10,47
32,1,49,18,38,42,29
32,49,18,3,29,42,45
48,49,18,41,42,28,29
49,13,3,42,10,29,14
32,17,18,48,42,28,13
32,48,18,42,28,29,14
49,29,18,42,41,10,13
32,17,18,49,42,11,29
49,18,29,41,42,28,13
32,48,49,18,42,13,14
32,18,10,38,42,29,14
32,1,49,18,29,42,13
32,48,17,49,18,42,13
32,48,18,49,42,29,14
32,18,42,38,10,13,14
32,49,18,42,28,13,47
32,17,18,42,10,13,14
32,17,18,29,42,13,14
32,18,29,38,42,13,14
32,17,18,3,42,11,13
49,18,3,38,42,28,13
32,17,18,3,41,42,29
32,17,18,49,42,38,10
32,18,29,42,28,13,47
17,18,49,42,38,10,29
18,3,29,38,42,28,13
32,49,18,17,29,42,45
32,49,18,38,42,29,14
17,29,3,18,42,11,13
32,18,42,10,28,29,47
32,48,18,42,10,28,14
32,49,29,18,41,42,13
32,49,18,3,42,41,10
32,49,18,3,42,11,29
17,18,3,38,42,28,29
17,29,10,18,42,28,13
17,18,3,42,10,29,14
32,18,42,10,28,29,14
32,49,18,3,41,42,13
32,49,18,38,42,29,47
32,18,10,29,41,42,13
32,18,38,41,42,28,29
17,18,3,10,38,42,29
48,49,18,10,42,29,14
49,18,10,41,42,28,29
17,18,3,29,38,42,13
32,29,3,18,42,11,13
32,48,49,18,41,42,28
32,48,18,3,17,42,13
48,32,18,42,10,13,14
32,48,49,18,42,29,47
32,18,42,38,41,10,29
