17,42
48,42
42,38
18,42,13
10,42,29
42,28,29
32,42,28
29,42,13
18,42,28
18,10,42
18,42,3,29
49,18,42,29
32,18,42,29
32,49,18,42
32,49,42,29
32,18,3,42
