0
2
4
5
6
7
9
12
15
16
19
21
22
23
24
26
27
30
31
33
34
35
36
37
39
40
43
44
11,46
41,20
25,46
8,28
25,41
25,14
25,13
13,46
8,48
10,20
10,11
1,3
32,46
8,45
8,11
14,47
3,20
45,38
48,20
8,17
1,11
25,47
41,11
48,46
11,47
28,46
38,47
11,14
17,47
1,13
46,38
11,38
1,28
17,45
25,10
48,1
8,10
41,47
8,38
1,20
11,45
25,49
20,45
49,11
48,45
1,25
8,13
20,46
46,14
11,28
20,14
1,14
8,25
8,46
32,25
10,46
25,11
41,45
49,46
1,45
8,3
20,38
8,1
17,20
8,41
1,10
8,47
45,14
11,13
25,38
17,25
20,13
17,11
45,46
25,45
1,47
20,47
1,41
48,25
11,20
46,47
1,46
8,14
45,47
25,20
48,11
41,46
1,17
8,20
1,38
11,3
8,49
25,28
25,3
3,46
10,45
41,14
29,46
17,46
20,28
41,10,13
32,17,14
48,29,47
48,13,38
32,45,13
18,3,45
29,38,14
48,13,47
17,10,14
10,28,14
49,28,45
49,38,41
3,28,47
18,38,14
49,10,41
48,41,29
18,28,47
48,17,38
48,41,28
32,1,49
38,13,14
32,10,47
3,45,29
3,28,14
49,28,47
49,10,47
1,29,49
17,10,38
38,28,14
49,38,14
10,28,47
17,14,49
28,29,47
41,28,13
48,13,14
17,13,38
48,41,32
48,29,14
17,3,41
48,17,28
48,10,14
38,17,14
49,13,41
32,49,20
17,3,14
10,3,47
45,3,13
25,18,29
32,28,45
48,28,14
41,42,17
48,32,47
41,28,17
41,28,38
48,3,38
17,29,41
17,29,14
48,41,3
10,38,14
41,10,3
41,10,17
28,13,47
41,3,38
3,28,45
17,38,41
3,13,47
48,49,14
48,3,47
49,45,13
1,18,49
32,41,13
48,17,13
38,32,14
17,41,49
32,17,41
41,10,38
18,45,13
32,3,45
17,38,49
41,3,28
48,3,14
3,13,14
38,3,14
38,48,14
17,13,41
10,18,47
29,28,45
28,13,14
48,17,49
48,17,10
32,49,45
48,41,18
17,28,14
29,45,13
48,28,47
17,28,38
48,41,38
10,13,47
48,49,47
41,3,13
18,28,45
10,29,47
48,41,10
48,10,47
41,10,28
41,13,38
48,41,13
17,13,14
48,17,3
48,41,49
49,28,14
48,18,47
48,17,14
45,28,13
41,18,17
41,3,49
49,3,47
48,41,17
8,32,29
49,3,45
49,10,3,14
41,18,29,38
48,28,29,38
48,49,10,38
17,10,28,49
32,49,10,14
32,10,3,14
10,18,13,14
32,42,20,29
17,10,28,29
17,3,28,49
48,10,28,13
32,18,48,14
32,48,28,13
49,29,13,14
17,10,13,49
32,28,29,14
49,29,13,47
48,49,28,38
32,49,28,41
32,18,20,29
18,3,29,47
32,29,13,47
32,3,13,38
3,28,29,38
17,10,3,28
32,41,42,38
42,28,29,14
49,18,3,14
32,49,13,14
41,42,28,49
10,3,28,38
17,13,10,29
49,3,13,38
49,10,29,14
32,17,28,13
32,17,3,38
49,18,13,47
48,32,28,38
32,28,13,38
10,29,13,14
48,49,10,3
17,3,28,13
32,41,18,38
17,28,13,49
49,10,13,14
48,10,3,28
32,17,10,13
49,3,28,38
48,29,28,13
49,3,29,14
49,18,10,14
32,18,28,14
18,28,29,14
32,41,29,38
10,3,28,13
49,42,13,47
32,10,13,14
13,28,29,38
49,28,29,41
17,3,29,38
32,17,10,49
32,48,3,13
48,3,28,13
48,49,28,13
17,13,28,29
49,10,3,17
10,3,13,38
17,18,28,13
3,28,13,38
41,18,28,49
17,42,28,13
29,3,13,38
32,3,28,38
18,28,13,38
48,49,10,13
32,42,28,47
48,10,3,13
48,10,29,38
48,29,3,13
32,3,29,47
18,13,29,47
17,10,28,13
48,49,3,13
32,49,13,47
32,10,48,38
32,17,48,29
49,28,13,38
48,18,28,38
10,28,13,38
32,1,18,29
32,41,18,28
32,17,10,28
32,49,3,14
49,18,13,14
17,3,13,49
48,10,28,38
17,10,3,13
10,3,29,14
32,17,29,38
32,10,18,28,38
32,49,48,10,28
10,18,28,29,38
17,10,18,29,49
32,10,29,28,13
32,41,10,18,29
32,29,42,13,14
32,49,29,13,38
49,13,3,28,29
48,49,18,29,38
32,41,42,28,29
32,10,42,13,38
49,10,18,28,38
32,49,10,28,13
3,49,10,18,28
49,10,29,28,13
32,49,3,28,13
48,32,10,3,29
48,29,10,18,13
32,10,3,29,38
32,10,18,13,38
49,10,18,13,38
32,49,10,3,38
48,49,10,18,28
32,49,10,3,13
32,29,18,13,14
48,49,32,3,28
48,49,3,28,29
48,49,29,32,13
32,49,10,3,28
49,10,18,28,13
49,10,28,29,38
17,10,42,29,49
49,29,10,13,38
32,49,18,29,14
32,10,28,29,38
48,49,32,29,38
32,17,10,3,29
32,29,3,28,13
32,29,10,13,38
32,17,13,29,49
32,48,10,28,29
49,18,3,28,13
10,49,18,3,38
32,49,10,13,38
32,17,13,3,29
48,49,10,28,29
32,49,10,28,38
32,10,29,48,13
48,49,18,3,28
49,10,3,28,29
32,41,10,42,29
48,49,18,32,38
32,18,3,29,14
32,18,48,29,38
49,10,3,29,38
32,49,17,42,28,29
32,18,3,10,28,29
32,49,18,38,28,29
32,48,18,3,28,29
32,49,18,3,38,29
32,17,18,49,28,29
32,49,18,38,10,29
