|['', 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]|
|['dm1.csv', 0.002815000000000012, 0.001094999999999402, 0.001100000000000989, 0.0014569999999984873, 0.0014409999999998035, 0.0013019999999990262]|
|['dm2.csv', 0.0014889999999994075, 0.001452000000000453, 0.0012789999999966994, 0.001274999999999693, 0.0007870000000025357, 0.0013539999999991892]|
|['dm3.csv', 0.008100000000005991, 0.0032840000000007308, 0.0048160000000052605, 0.0031370000000094933, 0.0013859999999965567, 0.0014070000000003802]|
|['dm4.csv', 20.29128800000001, 1.9859560000000016, 0.5599670000000003, 0.10043600000000197, 0.0539630000000102, 0.022209000000003698]|
